ranking,source,target,value,ichioshi,comment
320,博麗霊夢,二ッ岩マミゾウ,18,2,2,※
320,レミリア・スカーレット,八雲紫,18,2,2,※
320,レミリア・スカーレット,比那名居天子,18,3,4,※
320,フランドール・スカーレット,クラウンピース,18,3,3,※
320,ルナサ・プリズムリバー,ルナチャイルド,18,1,5,※
320,射命丸文,洩矢諏訪子,18,3,6,※
320,風見幽香,四季映姫・ヤマザナドゥ,18,0,7,※
320,四季映姫・ヤマザナドゥ,ヘカーティア・ラピスラズリ,18,0,7,※
320,ナズーリン,幽谷響子,18,4,5,※
320,村紗水蜜,寅丸星,18,2,5,※
320,宇佐見菫子,マエリベリー・ハーン,18,4,3,※
331,博麗霊夢,宇佐見菫子,17,1,0,※
331,ルーミア,魂魄妖夢,17,5,2,※
331,レミリア・スカーレット,射命丸文,17,2,4,※
331,橙,犬走椛,17,2,4,※
331,魂魄妖夢,森近霖之助,17,2,3,※
331,八雲紫,茨木華扇,17,2,3,※
331,伊吹萃香,少名針妙丸,17,5,3,※
331,射命丸文,風見幽香,17,4,2,※
331,永江衣玖,堀川雷鼓,17,2,5,※
331,エリス,サリエル,17,3,4,※
341,ルーミア,古明地こいし,16,2,3,※
341,紅美鈴,小野塚小町,16,3,2,※
341,レミリア・スカーレット,古明地こいし,16,5,1,※
341,東風谷早苗,封獣ぬえ,16,2,1,※
345,博麗霊夢,藤原妹紅,15,2,2,※
345,博麗霊夢,豊聡耳神子,15,2,3,※
345,八雲紫,四季映姫・ヤマザナドゥ,15,4,4,※
345,上白沢慧音,蓬莱山輝夜,15,2,2,※
345,因幡てゐ,メディスン・メランコリー,15,4,4,※
345,鈴仙・優曇華院・イナバ,今泉影狼,15,3,2,※
345,藤原妹紅,岩笠,15,3,5,※
345,風見幽香,多々良小傘,15,2,2,※
345,河城にとり,東風谷早苗,15,2,1,※
345,黒谷ヤマメ,古明地さとり,15,1,2,※
345,星熊勇儀,古明地さとり,15,1,3,※
345,封獣ぬえ,秦こころ,15,1,2,※
